topology,dist_area,BL,prob_A,prob_B,prob_AB
2x2,aabb,all equal,0,0,1
2x2,aabb,2x_1st_node,0,0,1
2x2,aabb,4x_1st_node,0,0,1
2x2,aabb,8x_1st_node,0,0,1
2x2,aabb,2x_2nd_node,0,0,1
2x2,aabb,4x_2nd_node,0,0,1
2x2,aabb,8x_2nd_node,0,0,1
2x2,aabb,2x_3rd_node,0,0,1
2x2,aabb,4x_3rd_node,0,0,1
2x2,aabb,8x_3rd_node,0,0,1
2x2,aabb,2x_4th_node,0,0,1
2x2,aabb,4x_4th_node,0,0,1
2x2,aabb,8x_4th_node,0,0,1
2x2,aabb,2x_6th_node,0,0,1
2x2,aabb,4x_6th_node,0,0,1
2x2,aabb,8x_6th_node,0,0,1
2x2,aabb,2x_7th_node,0,0,1
2x2,aabb,4x_7th_node,0,0,1
2x2,aabb,8x_7th_node,0,0,1
2x2,aaab,all equal,0.2143,0,0.7857
2x2,aaab,2x_1st_node,0.1071,0,0.8929
2x2,aaab,4x_1st_node,0,0,0.9999
2x2,aaab,8x_1st_node,0,0,1
2x2,aaab,2x_2nd_node,0.2143,0,0.7857
2x2,aaab,4x_2nd_node,0.1071,0,0.8929
2x2,aaab,8x_2nd_node,0,0,0.9999
2x2,aaab,2x_3rd_node,0.1071,0,0.8929
2x2,aaab,4x_3rd_node,0,0,1
2x2,aaab,8x_3rd_node,0,0,1
2x2,aaab,2x_4th_node,0.1071,0,0.8929
2x2,aaab,4x_4th_node,0,0,1
2x2,aaab,8x_4th_node,0.7735,0,0.226
2x2,aaab,2x_6th_node,0.1072,0,0.8928
2x2,aaab,4x_6th_node,0,0,1
2x2,aaab,8x_6th_node,0,0,1
2x2,aaab,2x_7th_node,0.4821,0,0.5179
2x2,aaab,4x_7th_node,0.6161,0,0.3839
2x3,aaab,8x_7th_node,0.683,0,0.317
3x1,aabb,all equal,0,0.2143,0.7857
3x1,aabb,2x_1st_node,0,0.1071,0.8929
3x1,aabb,4x_1st_node,0,0,0.9999
3x1,aabb,8x_1st_node,0,0,1
3x1,aabb,2x_2nd_node,0,0.1071,0.8929
3x1,aabb,4x_2nd_node,0,0,0.9999
3x1,aabb,8x_2nd_node,0,0,1
3x1,aabb,2x_3rd_node,0,0.1072,0.8928
3x1,aabb,4x_3rd_node,0,0,1
3x1,aabb,8x_3rd_node,0,0,1
3x1,aabb,2x_4th_node,0,0.1072,0.8928
3x1,aabb,4x_4th_node,0,0,1
3x1,aabb,8x_4th_node,0,0,1
3x1,aabb,2x_6th_node,0.4821,0,0.5179
3x1,aabb,4x_6th_node,0,0.6162,0.3838
3x1,aabb,8x_6th_node,0,0.683,0.317
3x1,aabb,2x_7th_node,0,0.1072,0.8928
3x1,aabb,4x_7th_node,0,0,1
3x1,aabb,8x_7th_node,0,0.7917,0.208
3x1,aaab,all equal,0,0,1
3x1,aaab,2x_1st_node,0,0,1
3x1,aaab,4x_1st_node,0,0,0.9999
3x1,aaab,8x_1st_node,0,0,1
3x1,aaab,2x_2nd_node,0,0,1
3x1,aaab,4x_2nd_node,0,0,0.9999
3x1,aaab,8x_2nd_node,0,0,1
3x1,aaab,2x_3rd_node,0,0,1
3x1,aaab,4x_3rd_node,0,0,1
3x1,aaab,8x_3rd_node,0,0,1
3x1,aaab,2x_4th_node,0,0,1
3x1,aaab,4x_4th_node,0,0,1
3x1,aaab,8x_4th_node,0,0,1
3x1,aaab,2x_6th_node,0,0,1
3x1,aaab,4x_6th_node,0,0,1
3x1,aaab,8x_6th_node,0,0,1
3x1,aaab,2x_7th_node,0,0,1
3x1,aaab,4x_7th_node,0,0,1
3x1,aaab,8x_7th_node,0,0,1
